Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YOR122C	pfy1-13	YFL039C	act1-121	0.281
YOR122C	pfy1-13	YLR337C	vrp1-supp1	0.269
YOR122C	pfy1-13	YBR109C	cmd1-8	0.430
YOR122C	pfy1-13	YNL138W	srv2-ts	0.293
YOR122C	pfy1-13	YLL050C	cof1-8	0.200
YOR122C	pfy1-13	YAL041W	cdc24-5	0.216
YOR122C	pfy1-13	YAL041W	cdc24-11	0.262
YOR122C	pfy1-13	YNL079C	tpm1-supp1	0.312
YOR122C	pfy1-13	YNL079C	tpm1-supp1a	0.240
YOR122C	pfy1-13	YFL039C	act1-159	0.254
YOR122C	pfy1-13	YBL062W	ybl062w	0.220
YOR122C	pfy1-13	YIL118W	rho3-ser228	0.239
YOR122C	pfy1-13	YFL039C	act1-4	0.299
YOR122C	pfy1-13	YOR326W	myo2-16	0.321
YOR122C	pfy1-13	YNL271C	bni1	0.435
YOR122C	pfy1-13	YNL138W	srv2-2	0.290
YOR122C	pfy1-13	YLR370C	arc18	0.355
YOR122C	pfy1-13	YFL039C	act1-122	0.250
YOR122C	pfy1-13	YLR370C	arc18-supp1	0.263
YOR122C	pfy1-13	YFL039C	act1-132	0.394
YOR122C	pfy1-13	YBR078W	ecm33	0.232
YOR122C	pfy1-13	YLR319C	bud6	0.279
YOR122C	pfy1-13	YOR326W	myo2-14	0.397
YOR122C	pfy1-13	YAL041W	cdc24-1	0.285
YOR122C	pfy1-13	YOR122C	pfy1-14	0.527
YBR038W	chs2-5006	YCR002C	cdc10-4	0.260
YBR038W	chs2-5006	YHR107C	cdc12-1	0.256
YBR038W	chs2-5006	YLR110C	ccw12	0.223
YBR038W	chs2-5006	YML115C	van1	0.222
YBR038W	chs2-5006	YBL007C	sla1	0.207
YBR038W	chs2-5006	YBR109C	cmd1-8	0.289
YBR038W	chs2-5006	YJL099W	chs6	0.222
YBR038W	chs2-5006	YDL117W	cyk3	0.272
YBR038W	chs2-5006	YBR023C	chs3	0.316
YBR038W	chs2-5006	YJR076C	cdc11-5	0.241
YBR038W	chs2-5006	YJR076C	cdc11-1	0.253
YBR038W	chs2-5006	YNL152W	inn1-5007	0.316
YBR038W	chs2-5006	YNL298W	cla4	0.256
YBR038W	chs2-5006	YJR076C	cdc11-2	0.283
YBR038W	chs2-5006	YOR326W	myo2-16	0.231
YBR038W	chs2-5006	YNL271C	bni1	0.219
YBR038W	chs2-5006	YBL061C	skt5	0.312
YDL185W	vma1	YGR105W	vma21	0.433
YDL185W	vma1	YCL005W-A	vma9	0.215
YDL185W	vma1	YKL080W	vma5	0.242
YDL185W	vma1	YEL051W	vma8	0.223
YDL185W	vma1	YPR036W	vma13	0.472
YDL185W	vma1	YPL234C	vma11	0.202
YDL185W	vma1	YHR060W	vma22	0.446
YCR065W	hcm1	YOR026W	bub3	0.223
YCR065W	hcm1	YOR349W	cin1	0.370
YCR065W	hcm1	YDL028C	mps1-3796	0.239
YCR065W	hcm1	YPL017C	irc15	0.279
YCR065W	hcm1	YIR010W	dsn1-7	0.253
YCR065W	hcm1	YGL093W	spc105-4	0.209
YCR065W	hcm1	YLR045C	stu2-13	0.295
YCR065W	hcm1	YGL216W	kip3	0.285
YCR065W	hcm1	YER007W	pac2	0.337
YCR065W	hcm1	YPL241C	cin2	0.341
YCR065W	hcm1	YDR201W	spc19-5001	0.332
YCR065W	hcm1	YER016W	bim1	0.421
YCR065W	hcm1	YBL034C	stu1-8	0.377
YCR065W	hcm1	YLR210W	clb4	0.247
YCR065W	hcm1	YNL153C	gim3	0.278
YCR065W	hcm1	YPR046W	mcm16	0.255
YCR065W	hcm1	YBL034C	stu1-12	0.344
YCR065W	hcm1	YGR113W	dam1-1	0.340
YCR065W	hcm1	YFL037W	tub2-430	0.220
YCR065W	hcm1	YBR107C	iml3	0.250
YCR065W	hcm1	YPR141C	kar3	0.278
YCR065W	hcm1	YER147C	scc4-5001	0.214
YCR065W	hcm1	YLR045C	stu2-12	0.401
YCR065W	hcm1	YMR198W	cik1	0.208
YCR065W	hcm1	YGL086W	mad1	0.327
YCR065W	hcm1	YIR010W	dsn1-8	0.247
YCR065W	hcm1	YBL034C	stu1-6	0.352
YCR065W	hcm1	YJR135C	mcm22	0.281
YCR065W	hcm1	YPL269W	kar9	0.314
YCR065W	hcm1	YJL030W	mad2	0.263
YCR065W	hcm1	YDL139C	scm3-5007	0.232
YCR065W	hcm1	YDR254W	chl4	0.307
YCR065W	hcm1	YLR045C	stu2-10	0.246
YCR065W	hcm1	YLR381W	ctf3	0.262
YCR065W	hcm1	YPL233W	nsl1-5	0.244
YCR065W	hcm1	YMR138W	cin4	0.245
YCR065W	hcm1	YDR318W	mcm21	0.298
YCR065W	hcm1	YEL061C	cin8	0.375
YCR065W	hcm1	YPL233W	nsl1-6	0.201
YCR065W	hcm1	YML124C	tub3	0.249
YCR065W	hcm1	YPL018W	ctf19	0.307
YCR065W	hcm1	YMR055C	bub2	0.213
YCR065W	hcm1	YBR211C	ame1-4	0.268
YCR065W	hcm1	YPL253C	vik1	0.330
YCR065W	hcm1	YKL053W	ykl053w	0.226
YCR065W	hcm1	YLR045C	stu2-11	0.304
YCR065W	hcm1	YGL093W	spc105-15	0.225
YCR065W	hcm1	YER013W	prp22-1	0.261
YCR065W	hcm1	YGR078C	pac10	0.228
YCR065W	hcm1	YMR117C	spc24-9	0.268
YCR065W	hcm1	YGR179C	okp1-5	0.298
YML094W	gim5	YFL039C	act1-108	0.304
YML094W	gim5	YOR035C	she4	0.240
YML094W	gim5	YOR349W	cin1	0.217
YML094W	gim5	YFL039C	act1-3	0.216
YML094W	gim5	YKL007W	cap1	0.224
YML094W	gim5	YEL005C	vab2	0.202
YML094W	gim5	YLR045C	stu2-13	0.208
YML094W	gim5	YFL039C	act1-129	0.212
YML094W	gim5	YEL003W	gim4	0.460
YML094W	gim5	YNL153C	gim3	0.569
YML094W	gim5	YFL039C	act1-112	0.219
YML094W	gim5	YFL039C	act1-101	0.216
YML094W	gim5	YBL034C	stu1-6	0.203
YML094W	gim5	YJL030W	mad2	0.205
YML094W	gim5	YFL039C	act1-136	0.281
YML094W	gim5	YFL039C	act1-4	0.243
YML094W	gim5	YML124C	tub3	0.344
YML094W	gim5	YOR281C	plp2-5001	0.217
YML094W	gim5	YDR212W	tcp1-1	0.232
YML094W	gim5	YJL008C	cct8-5002	0.231
YML094W	gim5	YJL179W	pfd1	0.561
YML094W	gim5	YGR078C	pac10	0.575
YHR200W	rpn10	YMR067C	ubx4	0.231
YHR200W	rpn10	YFR052W	rpn12-1	0.262
YHR200W	rpn10	YDL097C	rpn6-1	0.250
YHR200W	rpn10	YGL240W	doc1-supp1	0.302
YHR200W	rpn10	YDL147W	rpn5-1	0.281
YHR200W	rpn10	YAL024C	lte1-supp1	0.238
YHR200W	rpn10	YFR004W	rpn11-8	0.311
YHR200W	rpn10	YFR004W	rpn11-14	0.323
YHR200W	rpn10	YOR261C	rpn8-5007	0.247
YFL039C	act1-133	YFL039C	act1-108	0.362
YFL039C	act1-133	YOR181W	las17-14	0.361
YFL039C	act1-133	YOR035C	she4	0.388
YFL039C	act1-133	YFL039C	act1-3	0.451
YFL039C	act1-133	YIL062C	arc15-10	0.428
YFL039C	act1-133	YFL039C	act1-129	0.316
YFL039C	act1-133	YDR129C	sac6	0.303
YFL039C	act1-133	YFL039C	act1-124	0.362
YFL039C	act1-133	YNR035C	arc35-5	0.353
YFL039C	act1-133	YDR320C	swa2	0.212
YFL039C	act1-133	YOR122C	pfy1-4	0.262
YFL039C	act1-133	YFL039C	act1-125	0.451
YFL039C	act1-133	YMR109W	myo5	0.316
YFL039C	act1-133	YOR181W	las17-13	0.442
YFL039C	act1-133	YIR006C	pan1-4	0.346
