Gene name	Number of transposons per gene	Number of reads per gene
SRP54	74	1116
RDS3	12	67
PRE2	45	456
FHL1	119	2295
COG4	87	740
YTH1	52	385
RPN7	27	264
RPC40	40	353
DBF20	134	3285
MRD1	104	1035
PIS1	45	409
CLB5	85	1064
CTR1	109	2590
YLH47	116	2410
SPN1	35	216
YPR136C	11	63
RRP9	55	516
YPR142C	55	1861
RRP15	25	298
NOC4	82	767
SGV1	125	1591
ORC4	39	185
RHO1	5	6
NUT2	31	950
JIP5	72	1048
DPB2	80	886
BET2	27	83
YPR177C	35	466
PRP4	119	2156
AOS1	20	33
SEC23	64	593
SMX3	6	5
DPM1	39	488
PZF1	28	209
RPO26	38	507
RPC82	49	524
