Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YPL078C	atp4	YER141W	cox15	0.283
YPL078C	atp4	YPL005W	aep3	0.333
YPL078C	atp4	YKL138C	mrpl31	0.256
YFL008W	smc1-259	YPR135W	ctf4	0.390
YFL008W	smc1-259	YPR119W	clb2	0.238
YFL008W	smc1-259	YMR048W	csm3	0.306
YFL008W	smc1-259	YOL123W	hrp1-4	0.203
YFL008W	smc1-259	YDR177W	ubc1-5002	0.218
YFL008W	smc1-259	YDR113C	pds1-128	0.271
YFL008W	smc1-259	YHR191C	ctf8-9	0.361
YJL029C	vps53-supp1	YBL050W	sec17-1	0.212
YJL029C	vps53-supp1	YBR164C	arl1	0.364
YJL029C	vps53-supp1	YOR216C	rud3	0.219
YJL029C	vps53-supp1	YOL018C	tlg2	0.452
YJL029C	vps53-supp1	YHL031C	gos1-supp1	0.277
YOL069W	nuf2-61	YDL052C	slc1	0.202
YIL046W-A	yil046w-a	YEL072W	rmd6	0.212
YIL046W-A	yil046w-a	YIL009W	faa3	0.224
YBL080C	pet112	YDR296W	mhr1	0.344
YBL080C	pet112	YER087W	aim10	0.260
YBL080C	pet112	YMR293C	her2	0.388
YBL080C	pet112	YER017C	afg3	0.218
YBL080C	pet112	YNL213C	rrg9-supp1	0.299
YBL080C	pet112	YBR179C	fzo1	0.266
YBL080C	pet112	YNL252C	mrpl17	0.329
YBL080C	pet112	YBR268W	mrpl37	0.544
YBL080C	pet112	YPL040C	ism1-supp1	0.362
YBL080C	pet112	YDR405W	mrp20	0.248
YNL218W	mgs1	YJL052C-A	yjl052c-a	0.216
YOR312C	rpl20b	YEL054C	rpl12a	0.256
YOR312C	rpl20b	YOR234C	rpl33b	0.209
YPR135W	ctf4	YPR119W	clb2	0.257
YPR135W	ctf4	YMR048W	csm3	0.365
YPR135W	ctf4	YOL123W	hrp1-4	0.338
YPR135W	ctf4	YDR177W	ubc1-5002	0.297
YPR135W	ctf4	YDR113C	pds1-128	0.286
YPR135W	ctf4	YHR191C	ctf8-9	0.507
YJL095W	bck1	YBR078W	ecm33	0.207
YJL095W	bck1	YBL061C	skt5	0.393
YJL095W	bck1	YJL062W	las21	0.233
YJL095W	bck1	YDR389W	sac7	0.216
YDR296W	mhr1	YER087W	aim10	0.303
YDR296W	mhr1	YMR293C	her2	0.415
YDR296W	mhr1	YER017C	afg3	0.255
YDR296W	mhr1	YNL213C	rrg9-supp1	0.365
YDR296W	mhr1	YBR179C	fzo1	0.266
YDR296W	mhr1	YNL252C	mrpl17	0.526
YDR296W	mhr1	YBR268W	mrpl37	0.336
YDR296W	mhr1	YPL040C	ism1-supp1	0.556
YDR296W	mhr1	YDR405W	mrp20	0.291
YDR439W	lrs4	YNL088W	top2-5002	0.244
YBL050W	sec17-1	YBR164C	arl1	0.271
YBL050W	sec17-1	YOR216C	rud3	0.287
YBL050W	sec17-1	YGL095C	vps45	0.250
YBL050W	sec17-1	YGR172C	yip1-4	0.202
YBL050W	sec17-1	YOL018C	tlg2	0.315
YBL050W	sec17-1	YDR137W	rgp1	0.289
YBL050W	sec17-1	YER157W	cog3-2	0.324
YBL050W	sec17-1	YDR323C	pep7	0.209
YBL050W	sec17-1	YCR044C	per1-supp1	0.223
YBL050W	sec17-1	YER122C	glo3-supp1	0.312
YBL050W	sec17-1	YHL031C	gos1-supp1	0.445
YBL050W	sec17-1	YOR370C	mrs6-2	0.205
YBL050W	sec17-1	YKR006C	mrpl13	0.276
YHR176W	fmo1	YGL199C	ygl199c	0.266
YPR119W	clb2	YOR261C	rpn8-5007	0.293
YPR119W	clb2	YDR177W	ubc1-5002	0.274
YPR119W	clb2	YDR113C	pds1-128	0.208
YPR119W	clb2	YHR191C	ctf8-9	0.216
YDR525W	api2	YBR078W	ecm33	0.225
YDR525W	api2	YJL062W	las21	0.341
YDR525W	api2	YDL232W	ost4-supp2	0.249
YDR525W	api2	YDR331W	gpi8-5001	0.263
YCL059C	krr1-18	YLR222C	utp13-5001	0.261
YCL059C	krr1-18	YOR295W	uaf30	0.219
YCL059C	krr1-18	YNL075W	imp4-2	0.202
YCL059C	krr1-18	YIL127C	rrt14	0.227
YCL059C	krr1-18	YLR051C	fcf2-5011	0.341
YBR164C	arl1	YOR216C	rud3	0.260
YBR164C	arl1	YOL018C	tlg2	0.435
YBR164C	arl1	YDR389W	sac7	0.213
YBR164C	arl1	YDR137W	rgp1	0.455
YBR164C	arl1	YER157W	cog3-2	0.254
YBR164C	arl1	YCR044C	per1-supp1	0.244
YBR164C	arl1	YER122C	glo3-supp1	0.272
YBR164C	arl1	YNL267W	pik1-104	0.242
YBR164C	arl1	YHL031C	gos1-supp1	0.500
YBR164C	arl1	YDR484W	vps52-supp1	0.233
YBR164C	arl1	YOR370C	mrs6-2	0.260
YBR164C	arl1	YOR112W	cex1	0.228
YBR164C	arl1	YDR331W	gpi8-5001	0.202
YER087W	aim10	YER017C	afg3	0.298
YER087W	aim10	YNL213C	rrg9-supp1	0.451
YER087W	aim10	YDL107W	mss2	0.302
YER087W	aim10	YBR179C	fzo1	0.361
YER087W	aim10	YNL252C	mrpl17	0.438
YER087W	aim10	YDR194C	mss116	0.284
YER087W	aim10	YLL009C	cox17	0.340
YER087W	aim10	YJL133C-A	dpi8	0.239
YER087W	aim10	YBR268W	mrpl37	0.216
YER087W	aim10	YPL040C	ism1-supp1	0.340
YER087W	aim10	YDR405W	mrp20	0.451
YER087W	aim10	YER141W	cox15	0.362
YER087W	aim10	YKL138C	mrpl31	0.444
YHR138C	yhr138c	YHL048C-A	yhl048c-a	0.211
YOR216C	rud3	YGL095C	vps45	0.235
YOR216C	rud3	YBR078W	ecm33	0.272
YOR216C	rud3	YOL018C	tlg2	0.266
YOR216C	rud3	YER157W	cog3-2	0.439
YOR216C	rud3	YER122C	glo3-supp1	0.277
YOR216C	rud3	YHL031C	gos1-supp1	0.267
YOR216C	rud3	YPR090W	ypr090w	0.210
YOR216C	rud3	YDR331W	gpi8-5001	0.276
YOR216C	rud3	YKR006C	mrpl13	0.295
YJL193W	yjl193w	YFL034C-B	mob2-28-supp1	0.206
YJL193W	yjl193w	YJL178C	atg27	0.214
YJL193W	yjl193w	YPL279C	fex2	0.361
YJL193W	yjl193w	YDL057W	ydl057w	0.340
YGL095C	vps45	YOL018C	tlg2	0.430
YGL095C	vps45	YER157W	cog3-2	0.244
YGL095C	vps45	YDR323C	pep7	0.475
YGL095C	vps45	YDR484W	vps52-supp1	0.305
YBR078W	ecm33	YBL061C	skt5	0.268
YBR078W	ecm33	YJL062W	las21	0.312
YBR078W	ecm33	YJR064W	cct5-5001	0.224
YMR181C	ymr181c	YLR157C	asp3-2	0.256
YBL061C	skt5	YBL020W	rft1-5028	0.206
YLR157C	asp3-2	YMR122W-A	ncw1	0.227
YFL034C-B	mob2-28-supp1	YJL178C	atg27	0.398
YFL034C-B	mob2-28-supp1	YEL076C	yel076c	0.449
YFL034C-B	mob2-28-supp1	YPL279C	fex2	0.475
YFL034C-B	mob2-28-supp1	YOL166W-A	yol166w-a	0.352
YFL034C-B	mob2-28-supp1	YDL057W	ydl057w	0.444
YMR059W	sen15-5001	YKL016C	atp7	0.208
YCL045C	emc1	YGL231C	emc4	0.225
