Gene name	Number of transposons per gene	Number of reads per gene	
APP1	51	602	
YPT53	18	137	
YNL092W	80	1409	
NST1	115	1099	
RHO2	12	63	
YNL089C	9	39	
TOP2	47	286	
TCB2	157	2127	
SNN1	11	71	
MKT1	64	740	
END3	29	175	
SAL1	43	431	
PMS1	68	444	
SWS2	17	62	
EOS1	70	599	
TPM1	17	90	
NIS1	68	1146	
APJ1	68	582	
MKS1	62	364	
IMP4	13	44	
MLF3	49	332	
MSK1	52	254	
RNH201	54	963	
LAT1	28	183	
TOM7	9	50	
RPL16B	23	101	
FKH2	101	999	
YNL067W-A	21	200	
YNL067W-B	18	477	
RPL9B	29	222	
SUN4	55	734	
AQR1	79	1342	
YDJ1	34	170	
MTQ1	37	224	
GCD10	43	514	
NOP2	51	331	
ARP5	44	239	
YNL058C	18	170	
YNL057W	4	5	
OCA2	24	171	
POR1	18	60	
VAC7	80	806	
MSG5	70	1037	
COX5A	43	600	
COG5	39	317	
YNL050C	36	449	
SFB2	64	854	
ALG11	47	285	
SLM2	65	901	
YNL046W	60	1075	
LAP2	72	1130	
YIP3	23	82	
YNL043C	15	51	
YNL042W-B	48	777	
BOP3	70	780	
COG6	58	369	
YNL040W	55	831	
BDP1	29	251	
GPI15	19	88	
IDH1	45	536	
NCE103	48	301	
YNL035C	73	1232	
YNL034W	92	1028	
YNL033W	57	549	
SIW14	43	310	
HHT2	26	115	
HHF2	25	52	
KTR5	89	1186	
YNL028W	37	946	
CRZ1	66	412	
SAM50	25	67	
SSN8	49	531	
KSH1	13	56	
EFM6	51	589	
FAP1	156	2064	
RCM1	76	1145	
HDA1	80	1038	
ARK1	113	1408	
YNL019C	49	677	
YNL018C	101	1539	
YNL017C	48	878	
PUB1	47	324	
PBI2	3	7	
HEF3	169	2896	
YNL013C	6	10	
SPO1	105	1428	
YNL011C	55	527	
YNL010W	53	316	
IDP3	77	908	
ASI3	142	2544	
SIS1	48	129	
LST8	11	48	
MRP7	33	175	
HRB1	205	6737	
PET8	79	649	
RLP7	14	35	
DOM34	62	422	
CIT1	108	2104	
YNR001W-A	32	236	
ATO2	159	4998	
RPC34	41	252	
YNR003W-A	12	18	
SWM2	31	461	
YNR005C	25	54	
VPS27	58	254	
ATG3	55	743	
LRO1	134	2120	
NRM1	61	641	
CSE2	25	312	
PRP2	105	921	
URK1	94	1766	
PHO91	164	2613	
YNR014W	64	1375	
SMM1	138	3850	
ACC1	163	978	
TIM23	30	258	
RCF2	87	1993	
ARE2	114	1398	
ATP23	64	773	
YNR021W	74	1139	
MRPL50	27	126	
SNF12	24	122	
MPP6	20	140	
YNR025C	7	15	
SEC12	38	392	
BUD17	38	472	
CPR8	41	321	
YNR029C	61	558	
ALG12	58	384	
SSK2	179	2299	
PPG1	51	538	
HUB1	26	137	
ABZ1	133	2298	
SOL1	37	398	
YNR034W-A	30	572	
ARC35	36	268	
MRPS12	18	40	
RSM19	20	87	
DBP6	15	86	
ZRG17	73	449	
YNR040W	37	373	
COQ2	48	468	
YNR042W	13	17	
MVD1	13	20	
AGA1	73	722	
PET494	61	628	
TRM112	24	110	
FPK1	76	637	
YNR048W	57	342	
MSO1	28	312	
LYS9	52	223	
BRE5	34	506	
POP2	45	276	
NOG2	30	99	
ESF2	35	104	
HOL1	101	1315	
BIO5	99	1071	
BIO4	137	5119	
BIO3	82	1237	
MNT4	68	794	
FRE4	145	2570	
YNR061C	21	240	
YNR062C	30	419	
YNR063W	79	1293	
YNR064C	71	1120	
YNR065C	139	1643	
YNR066C	63	1079	
DSE4	108	1107	
YNR068C	35	421	
BSC5	69	963	
PDR18	0	0	
YNR071C	0	0	
HXT17	28	58	
MAN2	34	261	
AIF1	0	0	
COS10	51	433	
YNR075C-A	14	253	
PAU6	26	216	
YNR077C	11	29	
YOL166W-A	9	15	
YOL166C	21	267	
AAD15	22	246	
YOL164W-A	6	34	
BDS1	73	949	
YOL163W	18	128	
YOL162W	29	358	
PAU20	23	198	
YOL160W	9	62	
YOL159C-A	17	116	
CSS3	16	132	
ENB1	57	383	
IMA2	103	1042	
HXT11	95	1011	
YOL155W-A	13	40	
HPF1	40	313	
ZPS1	15	64	
FRE7	85	1287	
GRE2	33	290	
YOL150C	5	6	
DCP1	11	11	
SPT20	55	404	
PEX11	18	136	
PSF3	9	51	
CTR9	50	222	
NOP8	28	116	
RIB4	19	169	
RRP40	20	34	
PPM2	84	640	
ARG8	41	431	
CDC33	2	1	
RTC1	164	1490	
BSC6	66	933	
PFK27	21	177	
MED7	22	149	
YOL134C	29	558	
HRT1	21	257	
GAS4	53	898	
YOL131W	15	151	
ALR1	73	653	
VPS68	27	463	
YGK3	48	432	
RPL25	0	0	
MDH2	74	1329	
TRM13	68	1086	
TRM11	46	351	
HRP1	26	64	
SMF1	105	2068	
RPS19A	34	152	
RPL18A	21	75	
MCH4	75	955	
YOL118C	35	449	
RRI2	70	491	
MSN1	37	565	
PAP2	60	333	
YOL114C	10	87	
SKM1	58	352	
MSB4	52	491	
MDY2	52	820	
SHR5	92	1828	
ZEO1	0	0	
INO4	18	179	
YOL107W	50	480	
YOL106W	12	62	
WSC3	43	613	
NDJ1	47	344	
ITR2	55	596	
TPT1	17	61	
IZH4	19	208	
PKH2	74	737	
YOL099C	8	47	
YOL098C	142	1727	
YOL097W-A	11	287	
WRS1	42	208	
COQ3	45	334	
HMI1	61	406	
RFC4	25	134	
TRM10	35	328	
YPQ1	38	349	
SPO21	44	425	
MSH2	91	830	
HAL9	117	1248	
MPD2	24	181	
DUF1	100	513	
MHF1	18	318	
ADH1	35	165	
YOL085W-A	30	740	
YOL085C	52	978	
PHM7	145	3007	
ATG34	48	728	
YOL083C-A	4	18	
ATG19	47	700	
IRA2	195	1562	
REX4	45	630	
YOL079W	15	77	
AVO1	92	829	
ATP19	7	45	
BRX1	20	131	
MDM20	29	283	
YOL075C	146	2124	
DSC2	47	650	
THP1	42	246	
SDH5	6	24	
NBA1	36	329	
NUF2	22	51	
HST1	99	1195	
RTG1	12	63	
RIB2	85	899	
INP54	45	394	
MET22	31	250	
CRT10	113	1556	
APM4	44	621	
PRS5	75	1130	
MAM3	121	2083	
GPD2	79	1286	
ARG1	54	398	
YOL057W	100	1001	
GPM3	55	502	
THI20	80	1137	
PSH1	56	665	
AIM39	77	1162	
DDR2	6	76	
SPE2	86	1010	
GAL11	57	384	
YOL050C	10	94	
GSH2	48	349	
RRT8	35	380	
LDS2	34	548	
YOL046C	49	796	
PSK2	155	2084	
PEX15	32	236	
NTG2	53	837	
NGL1	66	815	
NOP12	58	704	
RPS15	20	97	
RPP2A	7	53	
YOL038C-A	10	124	
PRE6	21	52	
YOL037C	17	140	
YOL036W	87	932	
YOL035C	18	144	
SMC5	75	521	
MSE1	49	208	
OPI10	43	439	
SIL1	67	1093	
GAS5	45	639	
YOL029C	24	195	
YAP7	30	392	
MDM38	62	759	
MIM1	24	102	
LAG2	70	630	
YOL024W	43	572	
IFM1	96	801	
TSR4	20	76	
DIS3	69	452	
TAT2	87	1295	
YOL019W-A	34	587	
YOL019W	106	1368	
TLG2	57	652	
ESC8	115	1929	
CMK2	69	918	
IRC10	72	1170	
YOL014W	10	24	
YOL013W-B	11	79	
YOL013W-A	44	1674	
HRD1	90	1975	
HTZ1	23	356	
PLB3	104	1519	
RCL1	42	334	
MDM12	43	246	
COQ10	35	240	
CSI2	70	1724	
TOP1	106	861	
RPB11	11	16	
SIN3	120	900	
PFA4	50	445	
IZH2	78	1763	
PHO80	46	653	
RRP6	114	1330	
ALG6	61	332	
YSP3	101	1704	
UTP23	17	111	
DNL4	122	1745	
TSR3	93	1645	
SGT2	50	1351	
SLG1	24	54	
YOR008C-A	19	149	
YOR008W-B	8	39	
TIR4	48	623	
TIR2	25	280	
AUS1	203	3118	
YOR011W-A	10	59	
YOR012W	35	316	
IRC11	45	450	
RTS1	39	390	
YOR015W	21	361	
ERP4	39	798	
PET127	109	1250	
ROD1	80	844	
YOR019W	95	1324	
HSP10	1	0	
YOR020W-A	7	33	
SFM1	14	59	
YOR022C	67	519	
AHC1	65	864	
YOR024W	51	1992	
HST3	47	265	
BUB3	67	669	
STI1	78	958	
CIN5	18	72	
YOR029W	27	370	
DFG16	77	1204	
HMS1	51	585	
YOR032W-A	29	482	
EXO1	109	1433	
AKR2	105	1349	
YOR034C-A	28	358	
SHE4	76	675	
PEP12	19	71	
CYC2	68	878	
HIR2	62	268	
CKB2	34	302	
GLO4	59	1146	
YOR041C	26	386	
CUE5	59	861	
WHI2	57	1021	
IRC23	34	314	
TOM6	5	8	
DBP5	49	260	
STD1	37	279	
RAT1	48	175	
RSB1	69	1394	
YOR050C	32	537	
ETT1	40	567	
TMC1	37	566	
YOR053W	10	12	
VHS3	79	698	
YOR055W	26	387	
NOB1	55	370	
SGT1	33	79	
ASE1	100	1238	
LPL1	59	744	
SLD7	35	168	
CKA2	32	345	
YOR062C	67	1240	
RPL3	13	90	
YNG1	25	355	
CYT1	30	185	
MSA1	81	972	
ALG8	32	165	
VPS5	60	274	
VAM10	10	12	
GYP1	41	411	
NRT1	88	1237	
YOR072W	28	416	
YOR072W-A	35	900	
YOR072W-B	16	146	
SGO1	73	1120	
CDC21	29	293	
YOR073W-A	1	0	
UFE1	24	137	
SKI7	74	549	
RTS2	37	332	
BUD21	15	65	
ATX2	39	385	
DIA2	50	378	
TGL5	93	1354	
YOR082C	41	292	
WHI5	97	3811	
LPX1	98	2285	
OST3	52	821	
TCB1	117	1037	
YVC1	95	1342	
VPS21	9	20	
PTC5	84	1592	
TMA46	68	1223	
ECM3	112	1446	
YOR093C	184	2545	
ARF3	10	12	
RKI1	16	56	
RPS7A	40	311	
YOR097C	26	153	
NUP1	33	206	
KTR1	74	776	
CRC1	34	341	
RAS1	43	731	
YOR102W	7	8	
OST2	7	6	
PIN2	23	171	
YOR105W	9	30	
VAM3	18	61	
RGS2	41	475	
LEU9	67	701	
YOR108C-A	8	47	
INP53	109	1242	
TFC7	36	139	
YOR111W	10	92	
CEX1	39	189	
AZF1	41	366	
YOR114W	20	176	
TRS33	17	236	
RPO31	74	512	
RPT5	31	196	
RTC5	57	703	
RIO1	39	155	
GCY1	30	182	
YOR121C	7	27	
PFY1	15	47	
LEO1	48	287	
UBP2	92	567	
CAT5	13	55	
IAH1	19	238	
RGA1	68	397	
ADE2	2212	1003795	
AFI1	82	984	
ORT1	27	90	
YOR131C	25	87	
VPS17	57	556	
EFT1	96	916	
BAG7	48	1019	
IRC14	3	2	
IDH2	17	69	
SIA1	52	633	
RUP1	91	1093	
YOR139C	20	175	
SFL1	131	1848	
ARP8	53	334	
LSC1	35	203	
THI80	30	126	
ELG1	101	885	
PNO1	20	29	
YOR146W	11	14	
MDM32	40	230	
SPP2	4	3	
SMP3	30	93	
MRPL23	14	148	
RPB2	73	568	
ATG40	7	8	
PDR5	131	1572	
SLP1	59	524	
ISN1	28	182	
NFI1	69	725	
PUP1	27	144	
PET123	12	15	
SME1	14	99	
MTR10	40	168	
PNS1	80	1283	
YOR161W-A	9	22	
YOR161W-B	14	123	
YOR161C-C	13	87	
YRR1	103	989	
DDP1	29	470	
GET4	58	434	
SEY1	84	1261	
SWT1	39	241	
RPS28A	3	2	
GLN4	49	215	
YOR169C	4	4	
YOR170W	9	120	
LCB4	63	784	
YRM1	70	830	
DCS2	49	686	
MED4	16	62	
ALE1	68	836	
HEM15	49	618	
MPC54	54	429	
GAC1	40	599	
SYC1	33	135	
DCI1	11	22	
LAS17	30	248	
RPS30B	23	94	
FYV12	48	743	
SER1	47	508	
GSP2	23	150	
YOR186W	35	631	
YOR186C-A	18	318	
TUF1	28	105	
MSB1	82	1191	
IES4	7	41	
SPR1	45	533	
ULS1	113	1333	
THI72	66	916	
YOR192C-C	19	99	
PEX27	15	72	
TOA1	12	17	
SLK19	64	639	
LIP5	38	179	
MCA1	40	636	
BFR1	29	94	
YOR199W	36	377	
YOR200W	14	90	
MRM1	52	294	
HIS3	40	419	
YOR203W	20	218	
DED1	34	227	
GEP3	76	653	
NOC2	60	429	
RET1	69	342	
PTP2	21	151	
NPT1	48	374	
RPB10	6	7	
MGM1	81	378	
STE4	44	592	
SAS5	43	533	
YOR214C	19	142	
AIM41	19	159	
RUD3	54	449	
RFC1	73	415	
YOR218C	13	43	
STE13	105	1144	
RCN2	23	145	
MCT1	36	404	
ODC2	49	573	
DSC3	36	408	
RPB8	15	40	
YOR225W	25	458	
ISU2	33	417	
HER1	82	714	
MCP1	36	442	
WTM2	82	1586	
WTM1	57	1179	
MKK1	53	443	
YOR231C-A	5	21	
MGE1	16	28	
KIN4	90	1237	
RPL33B	38	433	
IRC13	27	144	
DFR1	31	309	
HES1	26	201	
YOR238W	47	566	
ABP140	67	764	
MET7	67	690	
SSP2	38	417	
PUS7	31	376	
ESA1	33	169	
DGA1	34	395	
ENV9	36	350	
SRL1	19	126	
YOR248W	10	108	
APC5	17	36	
CLP1	14	52	
TUM1	20	60	
TMA16	19	150	
NAT5	17	150	
SEC63	36	167	
OSW1	24	454	
TRE2	40	188	
CDC31	4	3	
HNT3	15	43	
RPT4	43	175	
GCD1	43	228	
RPN8	12	15	
GPN2	23	105	
YOR263C	17	184	
DSE3	50	489	
RBL2	17	105	
PNT1	40	378	
HRK1	77	1208	
YOR268C	36	849	
PAC1	55	440	
VPH1	86	731	
FSF1	44	653	
YTM1	19	97	
TPO4	96	1371	
MOD5	50	433	
RIM20	50	562	
CAF20	28	134	
YOR277C	18	81	
HEM4	23	120	
RFM1	22	124	
FSH3	26	225	
PLP2	20	88	
YOR282W	22	450	
YOR283W	38	382	
HUA2	19	138	
RDL1	29	375	
RDL2	8	27	
RRP36	14	23	
MPD1	11	43	
YOR289W	32	803	
SNF2	85	526	
YPK9	130	1003	
YOR292C	45	483	
RPS10A	20	161	
YOR293C-A	6	9	
RRS1	8	33	
UAF30	38	284	
YOR296W	108	952	
TIM18	17	67	
MUM3	87	1197	
MBF1	25	140	
BUD7	97	1424	
YOR300W	26	475	
RAX1	100	2290	
YOR302W	4	4	
CPA1	40	228	
ISW2	98	770	
YOR304C-A	15	171	
RRG7	17	135	
MCH5	66	950	
SLY41	53	489	
SNU66	33	278	
YOR309C	2	2	
NOP58	20	67	
DGK1	27	250	
RPL20B	11	98	
SPS4	28	174	
YOR314W	9	86	
YOR314W-A	3	54	
SFG1	33	265	
COT1	66	581	
YOR316C-A	37	1093	
FAA1	104	1331	
YOR318C	51	740	
HSH49	9	15	
GNT1	26	126	
PMT3	120	1151	
LDB19	123	938	
PRO2	12	15	
FRT1	36	241	
YOR325W	19	118	
MYO2	104	573	
SNC2	15	112	
PDR10	154	2194	
SCD5	45	283	
YOR329W-A	13	226	
MIP1	77	341	
YOR331C	22	73	
VMA4	15	27	
YOR333C	12	75	
MRS2	32	244	
ALA1	79	556	
YOR335W-A	1	0	
KRE5	99	721	
TEA1	91	1242	
YOR338W	55	676	
UBC11	8	36	
RPA43	17	83	
RPA190	78	626	
YOR342C	24	172	
YOR343C	36	479	
TYE7	37	436	
YOR345C	12	68	
REV1	92	1276	
PYK2	42	383	
PUT4	241	6317	
CIN1	121	1894	
MNE1	60	588	
MEK1	47	535	
YOR352W	46	261	
SOG2	66	756	
MSC6	42	218	
GDS1	57	527	
CIR2	55	437	
SNX3	24	213	
HAP5	44	430	
VTS1	76	802	
PDE2	33	247	
PRT1	70	477	
PRE10	16	37	
PIP2	93	1180	
YOR364W	19	197	
YOR365C	69	690	
YOR366W	11	33	
SCP1	7	26	
RAD17	49	470	
RPS12	8	33	
MRS6	34	148	
GPB1	80	569	
NDD1	27	132	
NUD1	44	266	
ALD4	57	520	
GDH1	63	983	
YOR376W	22	335	
YOR376W-A	0	0	
ATF1	87	1096	
AMF1	69	943	
YOR379C	28	459	
RDR1	87	1340	
FRE3	52	491	
YOR381W-A	8	57	
FIT2	1	0	
FIT3	22	229	
FRE5	58	441	
YOR385W	33	341	
PHR1	54	394	
YOR387C	13	86	
FDH1	45	452	
YOR389W	116	2230	
FEX1	55	639	
HSP33	44	756	
YOR392W	43	742	
ERR1	78	786	
PAU21	22	121	
YOR394C-A	21	381	
YRF1-8	801	7125	
YOR396C-A	77	479	
YRF1-7	840	6546	
YPL283W-B	72	450	
YPL283W-A	54	230	
PAU22	24	136	
ERR2	72	801	
HSP32	46	518	
FEX2	61	580	
YPL278C	7	38	
YPL277C	91	1701	
SAM3	66	917	
SAM4	28	339	
YPL272C	25	235	
ATP15	6	8	
MDL2	75	707	
KAR9	60	534	
PLC1	51	376	
ACM1	8	25	
DIM1	31	112	
DIP5	74	998	
YPL264C	40	567	
KEL3	88	1086	
FUM1	80	801	
YPL261C	28	526	
CUB1	32	243	
APM1	68	618	
THI21	96	1254	
YPL257W	17	174	
CLN2	53	518	
BBP1	33	227	
HFI1	34	176	
VIK1	91	1617	
YAH1	17	62	
YPL251W	12	25	
ATG41	10	10	
RPL36B	7	14	
YPL250W-A	4	7	
GYP5	106	968	
GAL4	80	613	
YPL247C	77	790	
RBD2	15	65	
YPL245W	72	1150	
HUT1	57	371	
SRP68	15	80	
IQG1	70	490	
CIN2	25	193	
HSP82	90	1723	
YAR1	9	47	
YPL238C	3	3	
SUI3	8	17	
ENV7	40	362	
RVB2	51	298	
VMA11	18	120	
NSL1	41	204	
SSO1	50	470	
FAS2	114	778	
USV1	46	485	
YPL229W	29	166	
CET1	35	110	
ALG5	22	132	
NEW1	60	416	
YPL225W	7	9	
MMT2	85	1331	
GRE1	31	342	
FMP40	81	1157	
YPL222C-A	6	16	
FLC1	98	1628	
RPL1A	37	331	
PCL8	58	413	
SAR1	23	101	
BMS1	85	640	
YPL216W	78	789	
CBP3	36	232	
THI6	87	1283	
LEA1	47	450	
PUS1	46	880	
NIP7	19	160	
SRP72	34	115	
IPL1	26	238	
RKM1	66	755	
TYW1	85	911	
PGC1	53	736	
YPL205C	26	322	
HRR25	44	389	
TPK2	50	463	
AFT2	55	592	
YIG1	54	679	
CSM4	22	107	
YPL199C	39	408	
RPL7B	39	213	
YPL197C	10	31	
OXR1	26	165	
APL5	33	207	
DDC1	45	634	
RSA1	20	303	
PRM3	6	11	
YPL191C	30	487	
NAB3	43	283	
COA2	12	50	
GUP2	94	1214	
POS5	16	36	
MF(ALPHA)1	9	34	
UIP4	44	478	
YPL185W	25	172	
MRN1	52	296	
RTC6	7	14	
RTT10	138	1866	
YPL182C	4	60	
CTI6	29	161	
TCO89	105	1190	
PPQ1	68	729	
CBC2	17	69	
CUP9	24	308	
TRE1	111	1898	
SPT14	58	336	
NIP100	28	96	
MRPL40	41	189	
COX10	42	424	
OYE3	59	1421	
DAP1	48	581	
MEX67	59	354	
MRX4	37	383	
REV3	119	1069	
ATG29	13	109	
SET6	11	58	
MLH3	93	884	
SVS1	11	32	
YPL162C	36	163	
BEM4	58	407	
CDC60	60	565	
PET20	30	331	
AIM44	65	611	
TGS1	57	1022	
PRM4	39	273	
KIP2	124	1837	
PEP4	22	361	
RAD53	74	542	
YPL152W-A	1	0	
RRD2	42	112	
PRP46	49	624	
YPL150W	36	199	
ATG5	21	69	
PPT2	31	233	
PXA1	69	807	
NOP53	32	80	
KES1	10	15	
POC4	25	181	
RPL33A	8	17	
YPL142C	1	0	
FRK1	102	894	
MKK2	68	1181	
UME1	22	124	
SPP1	36	381	
GIP3	141	1449	
YPL136W	16	74	
ISU1	21	60	
YPL135C-A	4	4	
ODC1	40	712	
RDS2	60	712	
COX11	24	127	
RPL5	9	16	
SPO19	6	21	
TAF14	1	0	
TBF1	17	34	
HHO1	38	686	
NAN1	48	196	
KAP120	92	738	
SPC29	15	42	
RNY1	46	485	
TFB2	35	79	
MEI5	12	24	
VPS30	20	118	
YPL119C-A	1	0	
DBP1	76	682	
MRP51	29	69	
IDI1	34	269	
HOS3	88	817	
BEM3	1	0	
YPL114W	34	449	
YPL113C	66	1067	
PEX25	25	60	
CAR1	89	1520	
GDE1	102	1797	
YPL109C	104	1528	
YPL108W	29	239	
YPL107W	34	435	
SSE1	50	295	
SYH1	71	540	
MSD1	41	295	
FMP30	77	1085	
YPL102C	20	553	
ELP4	54	308	
ATG21	35	120	
INA17	21	203	
MGR2	9	27	
MSY1	28	118	
ERI1	1	0	
PNG1	51	541	
EEB1	56	841	
SEC62	38	281	
NOG1	64	695	
SSU1	71	1209	
GLR1	51	558	
RPS6A	9	13	
RLM1	54	827	
AAD16	62	1752	
YDC1	27	365	
ELP3	29	216	
SEC16	92	803	
BRO1	65	450	
SEN54	18	82	
MOT1	159	1240	
RPS9A	45	496	
YPL080C	36	410	
RPL21B	30	114	
ATP4	13	49	
YPL077C	30	264	
GPI2	17	35	
GCR1	39	211	
YTA6	76	1006	
YPL073C	13	30	
UBP16	39	263	
YPL071C	17	219	
MUK1	54	842	
BTS1	41	440	
YPL068C	29	109	
YPL067C	77	1651	
RGL1	65	826	
VPS28	19	117	
CWC27	65	856	
TIM50	42	253	
YPL062W	88	2048	
ALD6	53	493	
MFM1	45	283	
GRX5	11	14	
PDR12	157	2151	
SUR1	31	464	
LCL1	29	334	
LGE1	30	124	
LEE1	39	809	
KTR6	58	869	
OAZ1	34	150	
ARL3	16	41	
MNN9	15	27	
DIG1	80	859	
CAM1	46	718	
SGF11	11	46	
ELC1	10	64	
VPS16	55	296	
YPL044C	16	87	
NOP4	76	435	
SSN3	76	1108	
MRX11	44	674	
ISM1	108	1019	
YPL039W	51	1143	
YPL038W-A	12	140	
MET31	34	366	
EGD1	45	5990	
PMA2	116	1845	
YPL035C	21	68	
YPL034W	24	233	
SRL4	28	169	
SVL3	89	1061	
PHO85	47	433	
TRM44	70	783	
SUV3	73	510	
ERG10	25	39	
SMA1	53	253	
SKS1	57	1007	
YPL025C	62	1296	
RMI1	31	89	
MET12	53	572	
RAD1	90	1128	
ECM23	23	298	
ULP1	27	108	
VTC3	98	1287	
CTF19	48	326	
IRC15	125	2712	
SWI1	60	440	
HST2	108	2499	
YPL014W	66	967	
MRPS16	24	66	
RRP12	83	469	
TAF3	53	322	
RET3	11	49	
RQC2	118	936	
CHL1	115	1196	
TFC8	40	196	
NCR1	242	4405	
AEP3	48	285	
LSP1	54	778	
ULA1	94	836	
SNF8	43	262	
HAT1	37	268	
CIT3	135	2324	
PDH1	140	2750	
YPR002C-A	11	21	
YPR003C	163	2242	
AIM45	60	613	
HAL1	42	726	
ICL2	170	3900	
REC8	130	1762	
HAA1	145	2865	
SUT2	31	245	
RPA135	95	823	
YPR010C-A	24	302	
YPR011C	94	1760	
YPR012W	17	97	
CMR3	71	1438	
YPR014C	11	43	
YPR015C	51	895	
TIF6	5	12	
YPR016W-A	16	246	
DSS4	10	51	
RLF2	60	753	
MCM4	68	271	
ATP20	2	7	
AGC1	95	1002	
YPR022C	144	1802	
EAF3	75	1203	
YME1	92	1160	
CCL1	15	32	
ATH1	117	1486	
YPR027C	28	114	
YOP1	12	56	
APL4	96	658	
CSR2	121	1558	
NTO1	83	622	
SRO7	62	465	
HTS1	42	185	
ARP7	59	360	
GLN1	48	480	
VMA13	56	218	
SPO24	9	81	
ERV2	33	722	
IRC16	37	719	
YPR039W	39	968	
TIP41	47	395	
TIF5	23	190	
PUF2	76	798	
RPL43A	15	27	
OPI11	4	3	
THP3	71	999	
MCM16	9	47	
MSF1	41	272	
TAH18	28	161	
ATG11	104	1016	
YPR050C	30	457	
MAK3	46	1350	
NHP6A	12	21	
YPR053C	44	798	
SMK1	62	663	
SEC8	88	570	
TFB4	28	136	
BRR1	57	681	
YMC1	51	622	
YPR059C	21	181	
ARO7	12	20	
JID1	36	364	
FCY1	35	492	
YPR063C	28	195	
YPR064W	34	484	
ROX1	31	101	
UBA3	43	590	
ISA2	28	233	
HOS1	72	718	
SPE3	25	257	
MED1	74	1041	
YPR071W	29	169	
NOT5	52	235	
LTP1	32	393	
TKL1	60	386	
YPR074W-A	28	467	
OPY2	35	469	
YPR076W	5	4	
YPR077C	39	389	
YPR078C	69	820	
MRL1	59	1131	
TEF1	65	415	
GRS2	88	1115	
DIB1	29	180	
MDM36	67	548	
YPR084W	60	570	
ASA1	26	43	
SUA7	26	84	
VPS69	30	446	
SRP54	40	398	
YPR089W	88	1146	
NVJ2	78	841	
YPR092W	33	467	
ASR1	52	805	
RDS3	4	19	
SYT1	97	648	
YPR096C	19	153	
YPR097W	122	1790	
YPR098C	10	58	
YPR099C	15	80	
MRPL51	18	102	
SNT309	9	15	
RPL11A	12	18	
PRE2	27	203	
FHL1	65	612	
COG4	53	298	
ISR1	48	530	
YTH1	35	241	
RPN7	17	71	
YPR108W-A	21	255	
GLD1	54	1229	
RPC40	27	198	
DBF20	84	1359	
MRD1	67	452	
PIS1	26	200	
YPR114W	36	297	
RGC1	95	778	
RRG8	22	125	
YPR117W	213	1793	
MRI1	37	216	
CLB2	44	350	
CLB5	43	381	
THI22	69	743	
AXL1	128	1362	
YPR123C	26	378	
CTR1	58	661	
YLH47	71	935	
YPR126C	21	211	
YPR127W	45	339	
ANT1	52	832	
SCD6	17	85	
YPR130C	6	18	
NAT3	43	366	
RPS23B	20	52	
SPN1	20	94	
TOM5	1	0	
MSS18	18	79	
CTF4	92	523	
YPR136C	7	18	
RRP9	36	245	
MEP3	89	1058	
LOA1	26	98	
TAZ1	52	426	
KAR3	53	328	
YPR142C	41	856	
RRP15	18	122	
NOC4	51	338	
ASN1	91	794	
YPR145C-A	10	100	
YPR146C	31	479	
YPR147C	47	532	
YPR148C	50	597	
NCE102	37	660	
YPR150W	41	634	
SUE1	43	725	
URN1	65	522	
YPR153W	37	590	
PIN3	7	23	
NCA2	67	785	
TPO3	75	665	
TDA6	60	515	
CUR1	50	685	
KRE6	60	296	
YPR159C-A	6	6	
GPH1	128	1510	
YPR160W-A	0	0	
YPR160C-A	11	100	
SGV1	80	620	
ORC4	25	69	
TIF3	25	171	
MMS1	71	558	
RHO1	1	0	
MRP2	21	51	
MET16	39	304	
NUT2	21	202	
JIP5	40	324	
YPR170C	26	277	
YPR169W-A	14	47	
YPR170W-B	22	175	
YPR170W-A	8	47	
BSP1	34	165	
YPR172W	29	274	
VPS4	21	130	
YPR174C	29	289	
DPB2	49	378	
BET2	21	46	
YPR177C	24	106	
PRP4	76	941	
HDA3	78	681	
AOS1	8	18	
SEC23	41	212	
SMX3	4	3	
DPM1	21	148	
GDB1	145	1834	
ATG13	69	663	
PZF1	21	71	
RPO26	14	74	
MLC2	15	79	
SKI3	55	416	
RPC82	36	238	
QCR2	21	43	
AQY1	56	1006	
HPA2	20	136	
OPT2	82	994	
YPR195C	36	300	
YPR196W	62	869	
YPR197C	20	303	
SGE1	59	922	
ARR1	39	621	
ARR2	9	30	
ARR3	80	893	
YPR202W	90	687	
YPR203W	70	489	
YPR204W	427	2910	
YPR204C-A	71	464	
