Gene name	Number of transposons per gene	Number of reads per gene
DED1	16	71
NOC2	28	163
RET1	39	260
RPB10	3	7
RFC1	36	368
YOR218C	6	56
RPB8	11	62
WTM2	81	1270
MGE1	7	11
KIN4	56	679
DFR1	19	146
ESA1	15	52
APC5	8	15
CLP1	19	93
SEC63	19	86
TRE2	26	105
CDC31	1	0
RPT4	18	75
GCD1	20	69
RPN8	2	9
GPN2	16	53
FSF1	44	525
YTM1	5	11
HEM4	7	29
PLP2	7	26
YOR282W	15	235
RRP36	8	14
RRS1	4	25
NOP58	7	38
HSH49	1	0
MYO2	41	248
SCD5	16	110
ALA1	37	269
KRE5	43	386
RPA43	14	86
RPA190	31	272
SOG2	50	425
PRT1	44	360
PRE10	7	50
MRS6	21	55
NDD1	31	273
NUD1	24	285
TFC8	14	84
RET3	5	9
TAF3	25	202
RRP12	39	314
SWI1	32	172
ULP1	21	88
ERG10	5	17
NOP4	42	105
TIM50	32	314
GCR1	24	86
GPI2	9	56
MOT1	78	753
SEN54	11	33
SEC16	59	682
NOG1	39	411
SEC62	23	172
IDI1	17	181
TFB2	17	97
SPC29	16	59
NAN1	20	69
TBF1	14	43
RPL5	8	18
GIP3	68	718
YPL142C	1	0
RPL33A	9	23
NOP53	6	10
PRP46	39	298
RAD53	49	229
CDC60	33	332
MEX67	16	113
SPT14	38	270
NAB3	25	231
TPK2	25	182
HRR25	21	115
TYW1	60	623
IPL1	17	146
SRP72	12	21
NIP7	11	72
BMS1	27	250
SAR1	14	38
CET1	11	69
FAS2	57	700
NSL1	16	71
RVB2	24	162
SUI3	3	2
YPL238C	1	0
IQG1	45	358
SRP68	12	23
YPL251W	4	15
YAH1	5	16
BBP1	21	98
DIM1	12	39
RPA135	44	416
TIF6	3	5
MCM4	34	204
CCL1	10	46
HTS1	23	234
ARP7	23	296
GLN1	21	190
TIP41	29	191
TIF5	13	76
TAH18	13	75
SEC8	64	815
TFB4	12	35
DIB1	18	117
ASA1	11	19
SUA7	17	60
SRP54	13	135
RDS3	4	4
PRE2	22	88
FHL1	49	557
COG4	29	304
YTH1	13	75
RPN7	25	120
RPC40	11	69
DBF20	49	689
MRD1	22	101
PIS1	14	50
CLB5	40	196
CTR1	42	342
YLH47	45	722
SPN1	10	22
YPR136C	3	11
RRP9	16	119
YPR142C	33	522
RRP15	15	124
NOC4	19	133
SGV1	42	295
ORC4	12	26
RHO1	0	0
NUT2	8	27
JIP5	27	132
DPB2	26	184
BET2	9	20
YPR177C	16	133
PRP4	49	590
AOS1	5	5
SEC23	26	127
SMX3	1	0
DPM1	13	93
PZF1	9	51
RPO26	13	102
RPC82	22	120
