Gene name	Number of transposons per gene	Number of reads per gene
TOM22	0	0
KRE33	21	232
NAM9	24	235
YSF3	4	17
PGA2	4	6
YNL150W	2	2
RPC31	9	58
INN1	9	80
PGA1	5	10
CBK1	17	89
RPL42A	4	10
RIA1	39	404
APC1	58	623
RPS3	0	0
YNL181W	12	62
IPI3	15	64
KAR1	7	20
SRP1	7	20
RIO2	6	10
RAP1	54	439
POP1	37	404
SSU72	4	18
CSL4	6	41
NAR1	22	90
SUI1	10	29
CWC25	4	4
YNL247W	32	320
NRD1	14	73
FOL1	19	91
DSL1	19	160
LTO1	1	0
ORC5	6	8
POL2	90	805
YIF1	17	99
PIK1	28	175
SEC2	13	35
POP3	14	41
SEC21	25	120
RFC3	10	84
MRPS18	4	3
KRI1	7	16
ZIM17	9	67
RFA2	2	1
EMW1	30	193
PFS2	21	125
RPC34	12	77
PRP2	38	310
ACC1	83	742
TIM23	14	86
SEC12	17	91
ARC35	5	4
DBP6	7	58
MVD1	6	20
TRM112	7	52
NOG2	13	68
ESF2	11	45
RPB11	1	0
RCL1	17	107
DIS3	44	280
TSR4	6	30
MIM1	1	0
SMC5	41	293
PRE6	7	22
RPS15	6	62
RIB2	24	189
NUF2	13	106
BRX1	12	99
AVO1	39	379
RFC4	13	71
WRS1	25	139
TPT1	4	14
RPL18A	15	75
HRP1	11	52
RPL25	1	0
ALR1	23	181
HRT1	10	141
YOL134C	13	199
MED7	8	34
CDC33	0	0
NOP8	8	40
PSF3	5	57
DCP1	4	3
UTP23	7	26
HSP10	0	0
DBP5	25	225
RAT1	16	79
NOB1	18	95
SGT1	9	32
SLD7	12	44
RPL3	8	21
CDC21	17	138
UFE1	6	50
RTS2	6	18
RKI1	8	31
NUP1	10	54
YOR102W	1	0
OST2	1	0
VAM3	7	51
TFC7	7	22
RPO31	44	336
RPT5	14	138
RIO1	18	103
PFY1	4	9
THI80	14	78
YOR146W	1	0
SPP2	2	2
SMP3	13	107
RPB2	36	294
PDR5	41	407
PUP1	12	103
SME1	7	42
MTR10	20	85
GLN4	25	168
YOR169C	2	14
