Gene name	Number of transposons per gene	Number of reads per gene
SCC2	55	2481
SAS4	29	1730
CDC1	21	637
YDR182W-A	5	203
PLP1	27	1439
YDR183C-A	7	238
ATC1	21	813
UPS3	20	1339
SND1	72	2391
YDR187C	14	538
CCT6	41	1345
SLY1	21	415
RVB1	12	392
HST4	30	1555
NUP42	21	900
YDR193W	10	449
MSS116	17	260
YDR194W-A	2	3
REF2	17	214
CAB5	12	67
CBS2	13	166
RKM2	37	1816
YDR199W	7	140
VPS64	48	2117
SPC19	6	9
RAV2	20	337
YDR203W	8	164
COQ4	24	464
MSC2	35	1337
EBS1	45	1716
UME6	69	4218
MSS4	47	1497
YDR209C	7	248
YDR210W	5	239
GCD6	23	522
TCP1	11	38
UPC2	91	6338
AHA1	44	3292
YDR215C	68	7264
ADR1	89	3928
RAD9	106	6635
SPR28	26	768
MFB1	18	345
YDR220C	22	667
GTB1	58	3939
YDR222W	42	1664
CRF1	37	1377
HTB1	9	141
HTA1	12	142
ADK1	20	838
SIR4	53	1848
PCF11	15	616
IVY1	42	2018
YDR230W	11	870
COX20	28	1185
HEM1	29	612
RTN1	21	467
LYS4	68	3768
PRP42	7	92
FMN1	7	116
MRPL7	7	220
SEC26	33	1018
YDR239C	48	2147
SNU56	12	322
BUD26	23	2347
AMD2	54	3352
PRP28	16	555
PEX5	58	4468
MNN10	10	204
TRS23	10	492
YDR246W-A	32	3281
VHS1	48	2619
YDR248C	22	812
YDR249C	42	1738
YDR250C	36	3722
PAM1	49	1084
BTT1	12	314
MET32	16	894
CHL4	43	1402
RMD5	27	607
CTA1	57	3055
RKM4	11	285
HSP78	115	7391
YAP6	46	2814
SWM1	29	2121
EXG2	41	2832
YDR262W	13	213
DIN7	31	1320
AKR1	47	1475
PEX10	15	415
HEL2	44	1517
CIA1	32	955
MSW1	14	245
YDR269C	6	17
CCC2	63	1722
YDR271C	14	334
GLO2	41	1617
DON1	17	254
YDR274C	61	6888
BSC2	26	1469
PMP3	6	85
MTH1	44	2256
YDR278C	27	457
RNH202	36	1149
RRP45	13	309
PHM6	6	70
MRX10	42	2777
GCN2	95	2676
DPP1	27	1131
ZIP1	38	1753
YDR286C	16	974
INM2	19	684
NSE3	12	226
RTT103	16	264
YDR290W	21	553
HRQ1	84	3268
SRP101	26	1125
SSD1	86	4529
DPL1	60	2747
HDA2	37	893
MHR1	10	370
SUR2	30	708
ATP5	1	0
BFR2	14	185
PRO1	19	515
CFT1	51	1297
GPI11	7	173
RSC3	32	583
CPR5	24	1220
HNT2	38	2991
YDR306C	31	1625
PMT7	46	1924
SRB7	8	233
GIC2	30	1648
SUM1	53	1666
TFB1	21	867
SSF2	46	2033
PIB1	38	2366
RAD34	51	2874
IPK1	26	946
OMS1	46	1774
HIM1	28	1160
MCM21	15	566
YFT2	23	1443
SWA2	45	2530
DAD4	3	178
YDR320W-B	18	2046
ASP1	29	1245
MRPL35	27	407
TIM11	13	279
PEP7	53	2686
UTP4	16	364
YCG1	44	1642
YSP2	90	5054
YDR327W	7	185
SKP1	9	198
PEX3	36	1511
UBX5	46	2246
GPI8	15	414
IRC3	41	2726
RQC1	48	1614
SWR1	111	8699
MSN5	53	2097
MRX8	39	1964
MRPS28	16	896
YDR338C	57	4436
FCF1	0	0
YDR340W	22	978
YDR341C	33	760
HXT7	74	3006
HXT6	77	2649
YDR344C	42	2250
HXT3	55	3756
SVF1	38	1328
MRP1	27	894
PAL1	34	2179
YPS7	29	742
ATP22	10	150
SBE2	52	2283
YPQ2	23	953
TRR1	9	70
TRP4	31	1599
YDR354C-A	3	18
YDR355C	7	582
SPC110	40	1929
CNL1	19	692
GGA1	37	1364
EAF1	55	2293
OPI7	9	120
BCP1	26	1292
TFC6	48	1596
ESC2	32	1468
SEM1	2	1
